Time	State	CNCPowerSupply-BC-1	CNCSpindle-BC-1	Spindel-BC-1	Spindel-BC-2	Spindel-BC-3	Spindel-BC-4	Spindel-BC-5	Spindel-BC-6	Spindel-BC-7	Spindel-BC-8	Spindel-BC-9	Spindel-BC-10	Spindel-BC-11	Spindel-BC-12	Spindel-BC-13	CNCXAchse-BC-1	CNCYAchse-BC-1	CNCZAchse-BC-1	CNCRotAchsen-BC-1	TankKühlmittel-BC-1	TankKühlmittel-BC-2	PumpeSindelkühlmittel1-BC-1	PumpeSindelkühlmittel1-BC-2	PumpeSindelkühlmittel1-BC-3	PumpeSindelkühlmittel1-BC-4	PumpeTrommelfilter-BC-1	PumpeTrommelfilter-BC-2	PumpeTrommelfilter-BC-3	PumpeTrommelfilter-BC-4	TankKühlöl-BC-1	TankKühlöl-BC-2	PumpeÖltemperaturregler-BC-1	PumpeÖltemperaturregler-BC-2	PumpeÖltemperaturregler-BC-3	PumpeÖltemperaturregler-BC-4	Y1Achse-BC-1	Y1Achse-BC-2	Y1Achse-BC-3	Y1Achse-BC-4	Y1Achse-BC-5	Y1Achse-BC-6	Y2Achse-BC-1	Y2Achse-BC-2	Y2Achse-BC-3	Y2Achse-BC-4	Y2Achse-BC-5	Y2Achse-BC-6	XAchse-BC-1	XAchse-BC-2	XAchse-BC-3	XAchse-BC-4	XAchse-BC-5	XAchse-BC-6	Z2Achse-BC-1	Z2Achse-BC-2	Z2Achse-BC-3	Z2Achse-BC-4	Z2Achse-BC-5	Z2Achse-BC-6	Z1Achse-BC-1	Z1Achse-BC-2	Z1Achse-BC-3	Z1Achse-BC-4	Z1Achse-BC-5	Z1Achse-BC-6	CAchse-BC-1	CAchse-BC-2	CAchse-BC-3	CAchse-BC-4	CAchse-BC-5	BAchse-BC-1	BAchse-BC-2	BAchse-BC-3	BAchse-BC-4	BAchse-BC-5	PumpeKühlölRotachsen-BC-1	PumpeKühlölRotachsen-BC-2	PumpeKühlölRotachsen-BC-3	PumpeKühlölRotachsen-BC-4	TankKühlÖlRotachsen-BC-1	TankKühlÖlRotachsen-BC-2
1382.00	PROCESS	211.36941201104594	19.26461540366921	141.34896268178568	0.007311387483309706	20.24735827025647	20.24735827025647	2.0300641694301045	20.24735827025647	20.24735827025647	2.0300641694301045	0.0	0.0	868.4746391196917	294.5375349492481	-168.54132601707394	20.60606060606061	13.950103950103951	15.127426142282445	10.0	293.9510131594476	5.156751106927001	0.0	0.6333228240724897	0.0	116.10752656423796	164.147555845122	74.23670164353504	620.4860783584829	74.24033383252062	294.1385920774097	0.7046760733551753	10.000000000000009	127.32395447351627	257.3458397579924	0.7913400623433239	1.0460248457734277E-31	0.0	0.0	50.0	294.4202860953578	22.77189637086934	1.0460248457734277E-31	0.0	0.0	50.0	294.4202860953579	22.77189637086772	1.0460248457734277E-31	0.0	0.0	50.0	294.42047514365333	22.771896370868898	27.898463683747647	0.0	0.0	50.0	294.5213727332243	15.787994719073293	27.898463683747647	0.0	0.0	50.0	294.52137273322313	15.787994719073724	0.0	0.0	0.0	294.0448680426579	258.1396280109414	0.0	0.0	0.0	294.03082536455196	390.8369766429907	219.95644342568946	127.32395447351627	88.77916052165065	0.739666515702793	294.00585363591864	0.5874396000796839
1383.00	PROCESS	211.3693041460749	19.26440446459563	141.34896267700816	0.007310475674437845	20.246095641885418	20.246095641885418	2.0300641694301045	20.246095641885418	20.246095641885418	2.0300641694301045	0.0	0.0	868.4747985386679	294.5409528282147	-168.64194224048643	20.60606060606061	13.950103950103951	15.127426142282445	10.0	293.9484782630457	5.135546628825212	0.0	0.6335648205855438	0.0	116.40340792902717	164.1475605044013	74.23670164353504	620.4860796117757	74.24534937335554	294.14190324591567	0.7076714105685623	10.000000000000009	127.32395447351627	257.3460639927557	0.7917797121906784	1.0460248457734277E-31	0.0	0.0	50.0	294.423336722144	22.77190325648577	1.0460248457734277E-31	0.0	0.0	50.0	294.423336722144	22.771903256484148	1.0460248457734277E-31	0.0	0.0	50.0	294.4235255511746	22.771903256483835	27.898463683747647	0.0	0.0	50.0	294.5247121967916	15.787999492942667	27.898463683747647	0.0	0.0	50.0	294.52471219679086	15.787999492942406	0.0	0.0	0.0	294.04546486247494	258.13954732153775	0.0	0.0	0.0	294.0314287506438	390.836919736149	219.95650953992808	127.32395447351627	88.77909401610898	0.7397667360053352	294.0064562759861	0.5879636006536263
1384.00	PROCESS	211.3691965240987	19.264193988342697	141.34896267265663	0.007309565872211993	20.244835713782795	20.244835713782795	2.0300641694301045	20.244835713782795	20.244835713782795	2.0300641694301045	0.0	0.0	868.4746365125553	294.5443668441711	-168.73959439640768	20.60606060606061	13.950103950103951	15.127426142282445	10.0	293.9459214674149	5.1141793888216505	0.0	0.6338065686684344	0.0	116.6970405665029	164.14756030171407	74.23670164353504	620.4860795572554	74.25035726417953	294.1452122398762	0.7106675125633168	10.000000000000009	127.32395447351627	257.34583365363335	0.7922183359015352	1.0460248457734277E-31	0.0	0.0	50.0	294.42638383152075	22.77190387882126	1.0460248457734277E-31	0.0	0.0	50.0	294.4263838315206	22.771903878821796	1.0460248457734277E-31	0.0	0.0	50.0	294.4265725346345	22.77190387882116	27.898463683747647	0.0	0.0	50.0	294.5280478724652	15.787999924414907	27.898463683747647	0.0	0.0	50.0	294.5280478724644	15.787999924414526	0.0	0.0	0.0	294.04606170486204	258.13961546626797	0.0	0.0	0.0	294.03203210887284	390.8369678834771	219.95645348937026	127.32395447351627	88.77915039840704	0.7398669034165701	294.00705887302337	0.5884876639768974
1385.00	PROCESS	211.36908913825528	19.26398396223584	141.3489626685717	0.007308658023046109	20.243578412222437	20.243578412222437	2.0300641694301045	20.243578412222437	20.243578412222437	2.0300641694301045	0.0	0.0	868.4747001380473	294.5477770607441	-168.83451080478883	20.60606060606061	13.950103950103951	15.127426142282445	10.0	293.94334281077977	5.092650292620397	0.0	0.6340480689385005	0.0	116.98845866462734	164.1475567142519	74.23670164353504	620.4860785922689	74.2553575118775	294.1485190418922	0.713664352013991	10.000000000000009	127.32395447351627	257.3459268083369	0.7926559297969922	1.0460248457734277E-31	0.0	0.0	50.0	294.4294275378475	22.771904505820014	1.0460248457734277E-31	0.0	0.0	50.0	294.42942753784746	22.771904505819393	1.0460248457734277E-31	0.0	0.0	50.0	294.4296161545819	22.771904505819077	27.898463683747647	0.0	0.0	50.0	294.53137980598586	15.788000359119087	27.898463683747647	0.0	0.0	50.0	294.5313798059864	15.788000359120321	0.0	0.0	0.0	294.04665852577676	258.1395567966344	0.0	0.0	0.0	294.03263543969445	390.8369264395422	219.9565017260522	127.32395447351627	88.77910187623198	0.7399670177230334	294.00766142757146	0.5890117904406265
1386.00	PROCESS	211.36898198207837	19.26377437397855	141.34896266406244	0.007307752075821447	20.24232366682474	20.24232366682474	2.0300641694301045	20.24232366682474	20.24232366682474	2.0300641694301045	0.0	0.0	868.4746249112643	294.5511835291122	-168.92674545801077	20.60606060606061	13.950103950103951	15.127426142282445	10.0	293.94074233115396	5.070960250577095	0.0	0.634289322010633	0.0	117.27769552098967	164.14756082808853	74.23670164353504	620.4860796988438	74.2603503528178	294.15182363673534	0.7166619029502302	10.000000000000009	127.32395447351627	257.3458199186458	0.793092491357551	0.4569960181636372	0.0	2.3501119999986972E-4	50.0	294.43246793055806	22.771902142679753	0.4569960181636372	0.0	2.3501119999986972E-4	50.0	294.43246793055806	22.771902142679465	0.4583007238894518	0.0	9.996980000008493E-5	50.0	294.43265647096587	22.77190214267749	27.898463683747647	0.0	0.0	50.0	294.53470806769894	15.787998720729313	27.898463683747647	0.0	0.0	50.0	294.5347080676993	15.787998720729512	0.0	0.0	0.0	294.0472553578062	258.1396345681673	0.0	0.0	0.0	294.03323874306403	390.8369811891343	219.956438271563	127.32395447351627	88.7791657062823	0.7400670789678035	294.0082639401081	0.5895359804011852
1387.00	PROCESS	211.36887504929405	19.26356521180989	141.34896265963735	0.0073068479818308545	20.2410714106481	20.2410714106481	2.0300641694301045	20.2410714106481	20.2410714106481	2.0300641694301045	0.0	0.0	868.4746532976557	294.55458629935265	-169.01646298543437	20.693940979892304	14.005512085833075	15.127426142282445	10.0	293.938120066655	5.0491101793408975	0.0	0.6345303284972921	0.0	117.5647844733746	164.147566679709	74.23670164353504	620.4860812728629	74.26533566682424	294.15512601160503	0.7196601415700109	10.000000000000009	127.32395447351627	257.3458618379516	0.7935280225412104	0.45383632988057265	0.0	0.007078982399999218	50.0	294.4355051973831	22.771905791886756	0.45383632988057265	0.0	0.007078982399999218	50.0	294.4355051973835	22.771905791885963	0.46660925528981667	0.0	0.03075925600000154	50.0	294.4356936611318	22.771905791886653	27.898463683747647	0.0	0.0	50.0	294.53803271283516	15.78800125076449	27.898463683747647	0.0	0.0	50.0	294.53803271283476	15.788001250763537	43.63323304518752	0.0	0.0	294.0478521774336	258.1394789880314	0.0	0.0	0.0	294.03384201644053	390.8368718969422	219.95656460140233	127.32395447351627	88.77903862874845	0.7401670871290698	294.00886641103125	0.5900602341488723
1388.00	PROCESS	211.4297128593721	19.263356464592164	141.34896265516375	0.0073059456942978435	20.239821579345787	20.239821579345787	2.0300641694301045	20.239821579345787	20.239821579345787	2.0300641694301045	0.0	0.0	868.4746634283165	294.5579854211606	-169.1037512646666	21.27947413838153	14.153174217978915	15.127426142282445	10.0	293.9354760555488	5.027101002785831	0.0	0.6347710890085252	0.0	117.8497573448536	164.1475617793899	74.23670164353504	620.4860799547331	74.27031322007757	294.1584261541829	0.7226590449048325	10.000000000000009	127.32395447351627	257.3458749128688	0.7939625225484706	1.230848001001162E-5	0.0	0.0	50.0	294.4385395821508	22.771902007437916	1.230848001001162E-5	0.0	0.0	50.0	294.4385395821514	22.771902007436292	0.4605385572288547	0.0	0.012475801800001981	50.0	294.43872797154177	22.771902007436815	27.898463683747647	0.0	0.0	50.0	294.5413537841479	15.78799862696368	27.898463683747647	0.0	0.0	50.0	294.54135378414844	15.787998626964226	0.0	0.0	0.0	294.04849950073884	258.1398107972341	0.0	0.0	0.0	294.0344452640766	390.8371049279343	219.9562953332691	127.32395447351627	88.77930949056929	0.7402670415680896	294.0094690354276	0.5905846857405009
1389.00	PROCESS	216.1376219219644	19.26314812159339	141.34896265065373	0.007305045168723785	20.238574111723835	20.238574111723835	2.0300641694301045	20.238574111723835	20.238574111723835	2.0300641694301045	0.0	0.0	868.4746682207389	294.5613809459904	-169.18871525096077	21.428634409626227	13.95010462989761	15.127426142282445	10.0	293.9328103358256	5.004933649424476	0.0	0.6350116041519701	0.0	118.13264433367266	164.14756240042504	74.23670164353504	620.4860801217843	74.27528328889554	294.1617240545192	0.7256585918013501	10.000000000000009	127.32395447351627	257.34588162856335	0.7943959935989355	1.0460248457734277E-31	0.0	0.0	50.0	294.4415710376129	22.7719055364616	1.0460248457734277E-31	0.0	0.0	50.0	294.4415710376133	22.771905536460636	0.45778546712802815	0.0	1.986239090522743E-15	50.0	294.4417594738827	22.771905536462324	27.898463683747647	0.0	0.0	50.0	294.5446713331918	15.788001073675309	27.898463683747647	0.0	0.0	50.0	294.54467133319145	15.788001073674359	0.0	0.0	0.0	294.04916710953137	258.13957979321816	0.0	0.0	0.0	294.03504848224776	390.8369413561488	219.9564862361946	127.32395447351627	88.77911745776774	0.7403669438664662	294.0100720823674	0.5911095558657453
1390.00	PROCESS	211.56735267688111	19.26294017261327	141.3489626465272	0.007304146362348963	20.23732894902086	20.23732894902086	2.0300641694301045	20.23732894902086	20.23732894902086	2.0300641694301045	0.0	0.0	868.4746779018091	294.56477292361916	-169.27145498161548	21.426502906362288	13.950103950103951	15.127426142282445	10.0	293.93012294558895	4.9826090541260655	0.0	0.6352518745328736	0.0	118.41347631217583	164.1475592709532	74.23670164353504	620.4860792799923	74.28024601377435	294.1650197038815	0.7286587624659168	10.000000000000009	127.32395447351627	257.3458947192473	0.7948284354891112	1.0460248457734277E-31	0.0	0.0	50.0	294.4445993012355	22.7719019800211	1.0460248457734277E-31	0.0	0.0	50.0	294.44459930123554	22.7719019800228	0.4573972119738672	0.0	-0.001705599999998074	50.0	294.4447880991078	22.771901980022157	27.898463683747647	0.0	0.0	50.0	294.54798540838135	15.787998607957155	27.898463683747647	0.0	0.0	50.0	294.54798540838146	15.78799860795724	0.0	0.0	0.0	294.0497703404392	258.13957635888084	0.0	0.0	0.0	294.0356516709844	390.83694032113965	219.9564854431371	127.32395447351627	88.77911825551897	0.7404667954736951	294.01067537304897	0.591634771075402
1391.00	PROCESS	211.56662967374712	19.262732607873886	141.34896264203098	0.007303249234363802	20.236086035048622	20.236086035048622	2.0300641694301045	20.236086035048622	20.236086035048622	2.0300641694301045	0.0	0.0	868.474648100162	294.5681613982057	-169.35205853016825	21.405417067725217	13.950103950103951	15.127426142282445	10.0	293.92741392289724	4.960128157902606	0.0	0.6354919007541046	0.0	118.69228288334826	164.14755627523814	74.23670164353504	620.4860784741794	74.28520132798229	294.1683130921782	0.7316595363972234	10.000000000000009	127.32395447351627	257.34585300317553	0.7952598488361414	1.0460248457734277E-31	0.0	0.0	50.0	294.4476242999445	22.771903663403684	1.0460248457734277E-31	0.0	0.0	50.0	294.44762429994466	22.771903663403723	0.4585632007805434	0.0	0.003642097800002045	50.0	294.44781379096963	22.771903663403254	27.898463683747647	0.0	0.0	50.0	294.55129605699517	15.787999775063787	27.898463683747647	0.0	0.0	50.0	294.55129605699534	15.787999775064797	0.0	0.0	0.0	294.05036169621064	258.13961049288247	0.0	0.0	0.0	294.0362548527819	390.8369642329702	219.95645793635168	127.32395447351627	88.77914592510581	0.740566601083147	294.0112786090629	0.5921600935072174
