Time	State	Spindle-BC-1	Spindle-BC-2	Spindle-BC-3	Spindle-BC-4	Spindle-BC-5	Spindle-BC-6	Spindle-BC-7	Spindle-BC-8	Spindle-BC-9	Spindle-BC-10	XAxis-BC-1	XAxis-BC-2	XAxis-BC-3	XAxis-BC-4	XAxis-BC-5	XAxis-BC-6	ZAxis-BC-1	ZAxis-BC-2	ZAxis-BC-3	ZAxis-BC-4	ZAxis-BC-5	ZAxis-BC-6	Tailstock-BC-1	Tailstock-BC-2	Tailstock-BC-3	Tailstock-BC-4	Tailstock-BC-5	Tailstock-BC-6	TankCoolant-BC-1	TankCoolant-BC-2	PumpCoolant-BC-1	PumpCoolant-BC-2	PumpCoolant-BC-3	PumpCoolant-BC-4	AmplifierSpindle-BC-1	AmplifierAxes-BC-1	AmplifierTailstock-BC-1	AmplifierRevolver-BC-1	CompressedAir-BC-1	BAxis-BC-1	BAxis-BC-2	Fan2-BC-1	Fan1-BC-1	PumpCF-BC-1	PumpCF-BC-2	PumpCF-BC-3	PumpCF-BC-4	TankCF-BC-1	TankCF-BC-2
   		Spindle.MotorHeatSrcStator	Spindle.MotorHeatSrcRotor	Spindle.Bearing1HeatSrcOuter	Spindle.Bearing1HeatSrcInner	Spindle.Bearing1HTC	Spindle.HeatSrcAirgap	Spindle.HeatSrcCair	Spindle.CoolantHTC	Spindle.CoolantTemperature	Spindle.CoolantHeatFlux	XAxis.MotorHeatSrcStator	XAxis.MotorHeatSrcRotor	XAxis.TransmissionHeatSrc	XAxis.BrakeHeatSrc	XAxis.CoolantTemperature	XAxis.CoolantHTC	ZAxis.MotorHeatSrcStator	ZAxis.MotorHeatSrcRotor	ZAxis.TransmissionHeatSrc	ZAxis.BrakeHeatSrc	ZAxis.CoolantTemperature	ZAxis.CoolantHTC	Tailstock.MotorHeatSrcStator	Tailstock.MotorHeatSrcRotor	Tailstock.TransmissionHeatSrc	Tailstock.BrakeHeatSrc	Tailstock.CoolantTemperature	Tailstock.CoolantHTC	TankCoolant.Temperature	TankCoolant.HeatFluxToAmbient	PumpCoolant.HeatSrcMotor	PumpCoolant.MotorHTC	PumpCoolant.HeatSrcPump	PumpCoolant.PumpHTC	AmplifierSpindle.HeatSource	AmplifierAxes.HeatSource	AmplifierTailstock.HeatSource	AmplifierRevolver.HeatSource	CompressedAir.HeatSrc	BAxis.HeatSrcStator	BAxis.HeatSrcRotor	Fan2.HeatSrc	Fan1.HeatSrc	PumpCF.HeatSrcMotor	PumpCF.MotorHTC	PumpCF.HeatSrcPump	PumpCF.PumpHTC	TankCF.Temperature	TankCF.HeatFluxToAmbient
[s]		[W]	[W]	[W]	[W]	[W/K]	[W]	[W]	[W/K]	[K]	[W]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[W]	[W]	[W]	[W]	[K]	[W/K]	[K]	[W]	[W]	[W/K]	[W]	[W/K]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W]	[W/K]	[W]	[W/K]	[K]	[W]
-	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	ROBIN	DIRICHLET	NEUMANN	NEUMANN	ROBIN	NEUMANN	ROBIN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	NEUMANN	ROBIN	NEUMANN	ROBIN	DIRICHLET	NEUMANN
18.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499816648743	0.05147129862633479	0.0	0.22426260968858788	0.0	0.6595279019739223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2242612709942763	0.0	7.857696254743416	293.14998553380343	0.2606662044904946
19.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499806172373	0.05147084908661216	0.0	0.22426244742166682	0.0	0.6595255054847315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2242610275976953	0.0	7.934252220044365	293.14998470722327	0.26066437960938416
20.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.14997956960957	0.05147039955163302	0.0	0.22426228515505145	0.0	0.6595231090217472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426078420176723	0.0	8.00760768187903	293.14998388064976	0.2606625547454222
21.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499785219908	0.05146995002137787	0.0	0.22426212288874176	0.0	0.6595207125849021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426054080653862	0.0	8.078059599096743	293.14998305408267	0.26066072989871536
22.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.14997747438133	0.05146950049584177	0.0	0.22426196062275333	0.0	0.6595183161743704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426029741200962	0.0	8.145863743308048	293.1499822275222	0.2606589050691568
23.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.14997642678094	0.051469050975068625	0.0	0.22426179835703955	0.0	0.6595159197899819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22426005401811797	0.0	8.211242091065133	293.1499814009682	0.2606570802569253
24.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499753791897	0.05146860145900481	0.0	0.2242616360916625	0.0	0.6595135234318422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22425981062494146	0.0	8.274388643720842	293.14998057442097	0.2606552554619941
25.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499743316078	0.05146815194771368	0.0	0.22426147382654457	0.0	0.6595111270998151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22425956723243332	0.0	8.335474026840695	293.1499797478801	0.260653430684147
26.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.1499732840348	0.051467702441131816	0.0	0.22426131156174786	0.0	0.6595087307940751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22425932384064054	0.0	8.39464921219406	293.14997892134585	0.2606516059236188
27.00	OFF	0.0	0.0	0.0	0.0	NaN	0.0	0.0	100.0	293.14999999999947	-1.1368683772161603E-11	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	0.0	0.0	0.0	0.0	NaN	NaN	293.14997223647106	0.051467252939264026	0.0	0.22426114929727245	0.0	0.659506334514452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22425908044950058	0.0	8.452048402387451	293.14997809481815	0.2606497811803455
